Income report 2024

Date,Asset,Amount,Value (EUR),Type,Description,Wallet Name
01/01/2024 10:00,SOL,"0,10000000","5,00",Staking,,Kraken
02/01/2024 11:01,SOL,"0,10000000","5,00",Staking,,Kraken
03/01/2024 12:02,SOL,"0,10000000","5,00",Staking,,Kraken
04/01/2024 13:03,SOL,"0,10000000","5,00",Staking,,Kraken
05/01/2024 14:04,SOL,"0,10000000","5,00",Staking,,Kraken
06/02/2024 15:05,SOL,"0,10000000","5,00",Staking,,Kraken
07/02/2024 16:06,SOL,"0,10000000","5,00",Staking,,Kraken
08/02/2024 17:07,SOL,"0,10000000","5,00",Staking,,Kraken
09/02/2024 10:08,SOL,"0,10000000","5,00",Staking,,Kraken
10/02/2024 11:09,SOL,"0,10000000","5,00",Staking,,Kraken
11/03/2024 12:10,SOL,"0,10000000","5,00",Staking,,Kraken
12/03/2024 13:11,SOL,"0,10000000","5,00",Staking,,Kraken
13/03/2024 14:12,SOL,"0,10000000","5,00",Staking,,Kraken
14/03/2024 15:13,SOL,"0,10000000","5,00",Staking,,Kraken
15/03/2024 16:14,SOL,"0,10000000","5,00",Staking,,Kraken
16/04/2024 17:15,SOL,"0,10000000","5,00",Staking,,Kraken
17/04/2024 10:16,SOL,"0,10000000","5,00",Staking,,Kraken
18/04/2024 11:17,SOL,"0,10000000","5,00",Staking,,Kraken
19/04/2024 12:18,SOL,"0,10000000","5,00",Staking,,Kraken
20/04/2024 13:19,SOL,"0,10000000","5,00",Staking,,Kraken
21/05/2024 14:20,SOL,"0,10000000","5,00",Staking,,Kraken
22/05/2024 15:21,SOL,"0,10000000","5,00",Staking,,Kraken
23/05/2024 16:22,SOL,"0,10000000","5,00",Staking,,Kraken
24/05/2024 17:23,SOL,"0,10000000","5,00",Staking,,Kraken
25/05/2024 10:24,SOL,"0,10000000","5,00",Staking,,Kraken
26/06/2024 11:25,SOL,"0,10000000","5,00",Staking,,Kraken
27/06/2024 12:26,SOL,"0,10000000","5,00",Staking,,Kraken
28/06/2024 13:27,SOL,"0,10000000","5,00",Staking,,Kraken
01/06/2024 14:28,SOL,"0,10000000","5,00",Staking,,Kraken
02/06/2024 15:29,SOL,"0,10000000","5,00",Staking,,Kraken
03/07/2024 16:30,SOL,"0,10000000","5,00",Staking,,Kraken
04/07/2024 17:31,SOL,"0,10000000","5,00",Staking,,Kraken
05/07/2024 10:32,SOL,"0,10000000","5,00",Staking,,Kraken
06/07/2024 11:33,SOL,"0,10000000","5,00",Staking,,Kraken
07/07/2024 12:34,SOL,"0,10000000","5,00",Staking,,Kraken
08/08/2024 13:35,SOL,"0,10000000","5,00",Staking,,Kraken
09/08/2024 14:36,SOL,"0,10000000","5,00",Staking,,Kraken
10/08/2024 15:37,SOL,"0,10000000","5,00",Staking,,Kraken
11/08/2024 16:38,SOL,"0,10000000","5,00",Staking,,Kraken
12/08/2024 17:39,SOL,"0,10000000","5,00",Staking,,Kraken
13/09/2024 10:40,SOL,"0,10000000","5,00",Staking,,Kraken
14/09/2024 11:41,SOL,"0,10000000","5,00",Staking,,Kraken
15/09/2024 12:42,SOL,"0,10000000","5,00",Staking,,Kraken
16/09/2024 13:43,SOL,"0,10000000","5,00",Staking,,Kraken
17/09/2024 14:44,SOL,"0,10000000","5,00",Staking,,Kraken
18/10/2024 15:45,SOL,"0,10000000","5,00",Staking,,Kraken
19/10/2024 16:46,SOL,"0,10000000","5,00",Staking,,Kraken
20/10/2024 17:47,SOL,"0,10000000","5,00",Staking,,Kraken
21/10/2024 10:48,SOL,"0,10000000","5,00",Staking,,Kraken
22/10/2024 11:49,SOL,"0,10000000","5,00",Staking,,Kraken
23/11/2024 12:50,SOL,"0,10000000","5,00",Staking,,Kraken
24/11/2024 13:51,SOL,"0,10000000","5,00",Staking,,Kraken
25/11/2024 14:52,SOL,"0,10000000","5,00",Staking,,Kraken
26/11/2024 15:53,SOL,"0,10000000","5,00",Staking,,Kraken
27/11/2024 16:54,SOL,"0,10000000","5,00",Staking,,Kraken
28/12/2024 17:55,SOL,"0,10000000","5,00",Staking,,Kraken
01/12/2024 10:56,SOL,"0,10000000","5,00",Staking,,Kraken
02/12/2024 11:57,SOL,"0,10000000","5,00",Staking,,Kraken
03/12/2024 12:58,SOL,"0,10000000","5,00",Staking,,Kraken
04/12/2024 13:59,SOL,"0,10000000","5,00",Staking,,Kraken
01/01/2024 12:00,ETH,"0,05000000","4,00",Reward,,Binance
02/01/2024 13:01,ETH,"0,05000000","4,00",Reward,,Binance
03/01/2024 14:02,ETH,"0,05000000","4,00",Reward,,Binance
04/01/2024 15:03,ETH,"0,05000000","4,00",Reward,,Binance
05/01/2024 16:04,ETH,"0,05000000","4,00",Reward,,Binance
