Capital gains report 2025

Date Sold,Date Acquired,Asset,Amount,Cost (EUR),Proceeds (EUR),Gain / loss,Notes,Wallet Name,Holding period
12/01/2025 15:22,01/01/2025 09:00,USDT,"4,27180510","1,73","4,17","2,44","",Demo Futures,Short term
13/01/2025 08:00,05/01/2025 09:00,USDT,"0,50000000","0,50","0,50","0,00","",Demo Futures,Short term
13/01/2025 13:01,01/01/2025 09:00,USDT,"1,50000000","1,50","1,50","0,00","",Demo Futures,Short term
13/01/2025 13:01,02/01/2025 09:00,USDT,"1,50000000","1,50","1,50","0,00","",Demo Futures,Short term
13/01/2025 13:01,03/01/2025 09:00,USDT,"2,00002500","1,00","2,00","1,00","",Demo Futures,Short term
24/01/2025 20:00,20/01/2025 09:00,USDT,"0,08838575","0,08","0,08","0,00","",Demo Futures,Short term
24/01/2025 23:40,22/01/2025 09:00,USDT,"0,41424953","0,40","0,40","0,00","",Demo Futures,Short term
24/01/2025 23:40,23/01/2025 09:00,USDT,"40,75540000","39,14","39,14","0,00","",Demo Futures,Short term
10/03/2025 12:00,15/02/2025 10:00,BTC,"0,00500000","10,00","12,00","2,00","",Demo Spot,Short term
10/03/2025 13:00,15/02/2025 11:00,ETH,"0,00300000","6,00","9,50","3,50","",Demo Spot,Short term
